GBACC,AGE,ISODATE
ABN51032,17,2006/03/01
ABN51043,17,2006/03/01
ABO32893,17,2006/03/01
ABO32904,17,2006/03/01
ABN51054,11,2006/03/02
ABO32915,11,2006/03/02
ABO32926,11,2006/03/02
ABO32937,11,2006/03/02
ABO38285,11,2006/03/02
ABG80436,52,2006/03/22
ABI22159,49,2006/03/22
AEG65098,,2006/03/28
ACA33681,,2006/04/03
AEG65109,,2006/04/04
ABG88817,33,2006/04/05
ABI30876,9,2006/04/05
AEG65120,,2006/04/05
ABJ53482,15,2006/04/06
AEG65131,,2006/04/06
ABW23242,,2006/12/08
ABU50577,,2006/12/15
ABU50557,,2006/12/28
ABW23262,,2007
ACA33705,,2007
ACA33712,,2007
ACA33713,,2007
ACA33746,,2007
ABY70956,,2007
AFM72422,,2007
ABW36168,,2007/01/08
ABW91207,5,2007/01/08
ABW91196,3,2007/01/08
ABW38363,,2007/01/08
ABW23244,,2007/01/09
ABU50582,,2007/01/09
ABU50560,,2007/01/10
ABW23248,,2007/01/13
ABW23263,,2007/01/14
ABW23259,,2007/01/15
ABV30646,,2007/01/15
ABV30635,,2007/01/15
ABW23249,,2007/01/16
ABW23245,,2007/01/17
ABV30118,,2007/01/17
ABY51226,4,2007/01/17
ABU50584,,2007/01/18
ACA33745,,2007/01/21
ABW23351,,2007/01/21
ABW23261,,2007/01/22
ABW23364,,2007/01/23
ABW23251,,2007/01/23
ABW23254,,2007/01/23
ABW23348,,2007/01/25
ABW23354,,2007/01/26
ABW23265,,2007/01/27
ABV30250,,2007/01/29
ABW23257,,2007/01/30
ABW23252,,2007/01/30
ABW23258,,2007/02/01
ABW23255,,2007/02/01
ABW23266,,2007/02/01
ABW23350,,2007/02/01
ABV30272,,2007/02/02
ABW23253,,2007/02/03
ABW23356,,2007/02/04
ABW40323,,2007/02/05
ACA33698,,2007/02/06
ABV29722,,2007/02/06
ACJ09818,6,2007/02/06
ABW91548,,2007/02/06
ABW91394,,2007/02/06
ABW39938,,2007/02/08
ABY51127,,2007/02/08
ABY51028,,2007/02/12
ABW40169,,2007/02/12
ABW40268,,2007/02/13
ABW40587,,2007/02/13
ABW40653,,2007/02/13
ABW23349,,2007/02/14
ABW23269,,2007/02/14
ABW40026,,2007/02/14
ACF41669,,2007/02/16
ABV29821,,2007/02/19
ABW40631,,2007/02/19
ABV29898,,2007/02/19
ABW39872,,2007/02/20
ABW91229,,2007/02/20
ABV30382,,2007/02/21
ABV30481,,2007/02/21
ABW23268,,2007/02/22
ABW86563,,2007/02/23
ABW91438,,2007/02/24
ABW23330,,2007/02/25
ABW40081,,2007/02/26
ABW40246,,2007/02/26
ABV30404,,2007/02/26
AEO99215,,2007/02/26
ABV30514,,2007/02/27
ABV30437,,2007/02/27
ABV30470,,2007/02/27
ABV30217,,2007/02/27
ABW23347,,2007/02/28
ABW91251,,2007/02/28
ACA24502,,2007/02/28
ABV30063,,2007/02/28
ABY81371,,2007/03/01
ABV30657,,2007/03/01
ABV30448,,2007/03/01
ABV30206,,2007/03/01
ABW71349,,2007/03/01
ABV30261,,2007/03/02
ABV30426,,2007/03/02
ABW40378,,2007/03/02
ABV29931,,2007/03/02
ACA33687,,2007/03/03
ACA33693,,2007/03/03
ABW23357,,2007/03/04
ABW23272,,2007/03/05
ABV29909,,2007/03/05
ABV29810,,2007/03/05
ABV30393,,2007/03/05
ACG70142,6,2007/03/05
ABW23344,,2007/03/06
ABV30239,,2007/03/06
ABW40136,,2007/03/06
ABW91262,,2007/03/06
ABV30228,,2007/03/06
ABV45970,,2007/03/06
ABV45860,,2007/03/07
ABV45981,,2007/03/07
ABW91240,,2007/03/07
ABV45992,,2007/03/07
ABV30415,,2007/03/07
ABW40191,,2007/03/07
ABW23334,,2007/03/08
ABW23361,,2007/03/08
ABV30074,,2007/03/08
ABW23346,,2007/03/09
ABV29623,,2007/03/09
ABV82562,,2007/03/09
ABW23333,,2007/03/10
ABW91647,6,2007/03/12
ACD56258,16,2007/03/12
ACD56269,52,2007/03/12
ACA24700,13,2007/03/13
ABV45904,,2007/03/13
ABW23366,,2007/03/14
ABW23271,,2007/03/14
ABV29711,,2007/03/14
ACG70153,8,2007/03/14
ABY51270,3,2007/03/14
ACA24689,32,2007/03/14
ACA33674,,2007/03/17
ABW23365,,2007/03/17
ABW23360,,2007/03/19
AEI54402,,2007/03/19
ACA33696,,2007/03/20
ABW23270,,2007/03/22
ABW23332,,2007/03/26
ABW23367,,2007/03/26
ABW23352,,2007/04/11
ABW23331,,2007/04/16
ACA33682,,2007/04/18
ACA33684,,2007/04/22
ACA33685,,2007/04/22
ABW23358,,2007/04/23
ABW23345,,2007/04/27
AEI54413,,2007/04/30
ACA33689,,2007/05/03
ABW23355,,2007/05/14
ABW23359,,2007/05/17
ABW23362,,2007/05/31
ACO94815,9,2007/06/04
ACD85572,8,2007/06/05
ACQ65747,3,2007/06/05
ACI26395,2,2007/06/07
ACO36364,6,2007/06/07
ACO36375,6,2007/06/07
ACR15414,6,2007/06/08
ACA33749,,2007/06/09
ACD85561,2,2007/06/11
ACD85539,3,2007/06/12
ACF54543,7,2007/06/13
ACR15381,10,2007/06/13
ACD85528,2,2007/06/14
ACR15403,7,2007/06/14
ACD85583,8,2007/06/18
ACF22408,2,2007/06/19
ACD85495,2,2007/06/20
ACR15392,7,2007/06/20
ACD85517,6,2007/06/21
ACI26417,2,2007/06/21
ACF54532,4,2007/06/21
ACD85550,2,2007/06/21
ACD85462,3,2007/06/21
ACD85473,2,2007/06/21
ACD85429,7,2007/06/22
ACD85484,5,2007/06/22
ACI26406,4,2007/06/23
ACD85506,2,2007/06/23
ACO36430,5,2007/06/23
ACD85440,5,2007/06/24
ACO36408,8,2007/06/24
ACO36419,5,2007/06/24
ACD93579,3,2007/06/27
ACD85451,6,2007/06/27
ACO94848,7,2007/06/28
ACO36386,4,2007/07/05
ACA33683,,2007/07/25
ACA33680,,2007/08/03
ACA33697,,2007/08/03
ACN32545,5,2007/08/03
ACA33700,,2007/08/04
ACA33767,,2007/08/08
ACA33695,,2007/08/08
ACA33686,,2007/08/16
ACA33699,,2007/09/06
ACA33691,,2007/09/10
ACA33694,,2007/09/18
ACA33716,,2007/09/19
ACA33718,,2007/09/19
ACA33688,,2007/10/05
ACA33717,,2007/10/09
ACA33756,,2007/10/13
ACA33707,,2007/10/13
ACA33692,,2007/10/16
ACA33690,,2007/10/25
ACA33711,,2007/11/01
ACA33710,,2007/11/05
ACA33714,,2007/11/05
ACA33715,,2007/11/05
ACA33754,,2007/11/06
ACA33708,,2007/11/06
ACA33721,,2007/11/07
ACA33706,,2007/11/11
ACA33709,,2007/11/14
ACA33761,,2007/11/14
ACB11801,,2007/11/21
ACA33768,,2007/11/26
ACB11766,,2007/11/28
ACA33719,,2007/12/02
ACA33720,,2007/12/05
ACA33755,,2007/12/09
ACA33763,,2007/12/10
ACA33760,,2007/12/10
ACA33769,,2007/12/11
ACA33765,,2007/12/12
ACF40108,,2007/12/12
ACA33770,,2007/12/13
ACA33759,,2007/12/14
ACU80179,4,2007/12/15
ACA33762,,2007/12/18
ACB11788,,2007/12/18
ACA33757,,2007/12/19
ACA33758,,2007/12/20
ACA33764,,2007/12/21
ACA33753,,2007/12/23
