ABB02891,119.5,24.36,143.86
ABB02902,122.68,24.36,147.03
ABB02947,123.69,26.09,149.78
ABB02991,120.11,24.41,144.52
ABB03002,120.61,24.41,145.02
ABB03013,119.04,25.87,144.91
ABB03024,122.63,24.41,147.03
ABB03035,121.37,25.87,147.23
ABB03046,120.1,24.27,144.36
ABB03057,122.46,24.57,147.03
ABB03079,122.09,24.57,146.66
ABB03112,123.32,24.27,147.59
ABB04983,119.97,24.41,144.38
ABB05005,121.52,24.36,145.88
ABB05183,122.66,24.36,147.02
ABB05194,122.47,24.41,146.88
ABB05205,122.02,24.41,146.43
ABB46414,123.3,24.36,147.66
ABB46425,121.58,25.87,147.44
ABB46458,122.26,24.57,146.83
ABB52376,115.1,21.79,136.89
ABB53614,122.09,24.57,146.66
ABB53674,121.8,20.81,142.61
ABB53696,122.63,24.41,147.03
ABB54514,115.5,21.79,137.29
ABB59996,123.19,26.09,149.28
ABB60007,122.9,26.09,148.99
ABB71825,121.85,24.57,146.42
ABB71833,119.97,24.57,144.54
ABB77853,122.68,26.09,148.77
ABB77864,123.19,26.09,149.28
ABB79731,122.5,24.57,147.07
ABB80001,122.05,24.57,146.62
ABB80148,123.19,26.09,149.28
ABB80196,123.19,26.09,149.28
ABB80207,122.65,26.09,148.73
ABB80218,123.63,26.09,149.71
ABB80251,123.3,24.36,147.66
ABB80492,123.23,26.09,149.32
ABB80503,123.21,26.09,149.3
ABB80529,123.19,26.09,149.27
ABB80661,122.82,26.09,148.91
ABB80672,118.06,25.76,143.82
ABB80682,123.19,26.09,149.28
ABB80724,122.82,26.09,148.91
ABB80748,123.07,26.09,149.16
ABB82183,123.33,24.41,147.73
ABB96319,114.78,25.62,140.41
ABB96330,115.99,25.62,141.61
ABB96341,113.39,25.62,139.02
ABB96352,115.29,25.27,140.56
ABB96363,116.07,19.7,135.78
ABB96374,115.22,25.62,140.84
ABB96509,122.09,25.65,147.74
ABB96531,123.19,26.09,149.28
ABC02234,122.09,26.09,148.18
ABC02288,123.19,26.09,149.28
ABC40544,111.95,19.71,131.66
ABC40555,116.06,25.03,141.09
ABC40608,124.05,24.36,148.4
ABC40642,124.06,24.27,148.33
ABC46554,114.09,25.66,139.75
ABC46565,116.06,25.03,141.09
ABC50178,123.19,26.09,149.28
ABC54668,120.11,24.41,144.52
ABC67576,122.53,26.09,148.62
ABC84531,117.91,25.03,142.94
ABC84542,112.95,23.21,136.16
ABD15460,122.84,24.27,147.11
ABD15504,123.26,19.35,142.61
ABD15625,121.15,24.27,145.41
ABD16571,122.09,23.81,145.9
ABD16582,120.79,26.45,147.24
ABD16593,121.09,24.78,145.87
ABD16718,117.03,26.74,143.78
ABD16729,117.7,26.1,143.81
ABD16740,111.95,19.71,131.66
ABD16751,112.16,19.71,131.87
ABD17334,117.13,25.03,142.16
