GBACC,AGE
"AFJ75549",
"AFJ75549",
"AFJ78562",
"AFJ78562",
"AFJ78573",
"AFJ78573",
"AFJ78628",
"AFJ78628",
"AFJ75560",
"AFJ75560",
"AFJ78584",
"AFJ78584",
"AFJ78595",
"AFJ78595",
"AFJ75571",
"AFJ75571",
"ABD60966",
"ABD60966",
"AFJ78386",
"AFJ78386",
"AFJ78408",
"AFJ78408",
"AFJ78419",
"AFJ78419",
"AFJ78430",
"AFJ78430",
"AFJ75036",
"AFJ75036",
"AFJ78441",
"AFJ78441",
"AFJ78452",
"AFJ78452",
"AFJ78463",
"AFJ78463",
"AFJ75058",
"AFJ75058",
"AFJ78474",
"AFJ78474",
"AFJ78485",
"AFJ78485",
"AFJ78496",
"AFJ78496",
"ABW23312",
"ABW23312",
"ACB11763",
"ACB11763",
"ABO33006",
"ABO33006",
"ACA33781",
"ACA33781",
"ACV49556",
"ACV49556",
"ABD62781",
"ABD62781",
"ABN50756",
"ABN50756",
"ABG88333",
"ABG88333",
"ABP49349",
"ABP49349",
"ABQ44416",
"ABQ44416",
"ABO38021",
"ABO38021",
"ABN50962",
"ABN50962",
"ABG26824",
"ABG26824",
"ABM22246",
"ABM22246",
"ABF47715",
"ABF47715",
"ABN51066",
"ABN51066",
"ABO38010",
"ABO38010",
"AAP60036",
"AAP60036",
"AAP60037",
"AAP60037",
"ABO52225",
"ABO52225",
"ABP49305",
"ABP49305",
"ABG88344",
"ABG88344",
"ABM22257",
"ABM22257",
"ABK40546",
"ABK40546",
"ABF47759",
"ABF47759",
"ABK40590",
"ABK40590",
"ABL67264",
"ABL67264",
"ABN50940",
"ABN50940",
"ABN50900",
"ABN50900",
"ABM22279",
"ABM22279",
"ABI92302",
"ABI92302",
"ABO32948",
"ABO32948",
"ABF47748",
"ABF47748",
"ABO32959",
"ABO32959",
"ABI96103",
"ABI96103",
"ABI96107",
"ABI96107",
"ABI96108",
"ABI96108",
"ABI96109",
"ABI96109",
"ABV29546",
"ABV29546",
"ACA33752",
"ACA33752",
"ACA33738",
"ACA33738",
"ABW23328",
"ABW23328",
"ABX58239",
"ABX58239",
"ABW71360",
"ABW71360",
"ABV29678",
"ABV29678",
"ABV30459",
"ABV30459",
