# BEAST v1.7.5
# Generated Sun Jul 14 20:19:11 EDT 2013 [seed=1373847404074]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	clock.rate	treeLikelihood	skyline
4300000	-16837.02568449796	-3632.034336871091	-13204.99134762687	13.590280103746073	2.263023072318212	14.481311149172017	2.255454613805906	10.199127618269475	2.3336878046947462	2.7222144283543193	9.614930186539787	1.8117857169858862	3.678557962197463	1.1017931171852409	126.0	5.0	89.0	34.0	134.0	66.0	14.0	162.0	29.0	26.0	0.18817657311392336	1.121935525480915	0.10828588996203922	0.023487089087731904	0.16957163982416237	0.34468091683601665	0.20337824048222772	0.207409704242539	0.24453113843921606	0.8883976365468604	0.25405503522821377	0.004273243115583458	-13204.99134762687	-1294.276476883369
4400000	-16852.70808736645	-3644.730691322203	-13207.977396044245	14.19889253048443	1.6863958052585741	1.906386336011696	2.4626159806597525	10.543180253830732	2.4553676662087396	2.0955604953149356	5.593179354138209	1.5162452696277906	6.486943690259749	1.7142994430319625	100.0	19.0	102.0	37.0	160.0	37.0	15.0	153.0	39.0	23.0	0.1719872798122686	0.9359623907111785	0.07004223101216557	0.005627829338606244	0.13374490968641908	0.3374122762127549	0.20889339382381972	0.220054013030975	0.23364031693244977	0.9016722956645712	0.2365742255382073	0.004614546146624645	-13207.977396044245	-1315.3287562196901
4500000	-16795.891223278006	-3610.1953062401794	-13185.695917037825	13.559234821374615	2.387378633177854	0.6547985370652872	2.599316631850802	9.57501731762954	2.788012868183603	2.1933352190466833	4.4316942235165895	1.8586207398770564	5.1302199732821325	1.3946509143529258	113.0	12.0	95.0	39.0	176.0	22.0	24.0	149.0	28.0	27.0	0.17134307915402086	0.8571038517291667	0.1192472804011502	0.014568691455358865	0.10834031008682996	0.33015251325128325	0.2060091030228972	0.21610503152917326	0.24773335219664563	0.855553263915346	0.21812181642791637	0.004948859696803693	-13185.695917037825	-1281.0665562978497
4600000	-16857.10738560066	-3619.4129404247183	-13237.694445175941	13.444428637866867	1.944154725310591	1.6627527720728166	2.882063541216505	5.747527342624333	2.761809813332712	2.079711168505932	6.80684578716676	1.9580513698091886	5.767867672122341	0.7103593190885754	99.0	26.0	95.0	32.0	183.0	24.0	13.0	155.0	36.0	22.0	0.2077617682770246	0.9062260674938931	0.11396711474102733	0.01753377656055708	0.13488152258535308	0.3482220939769805	0.20208808036035214	0.2159640193331587	0.23372580632950798	0.6941088587615412	0.1964629861240567	0.00458606288683093	-13237.694445175941	-1291.403182371546
4700000	-16856.767252594047	-3650.5349181760935	-13206.232334417955	13.603338186972039	2.102743172380138	0.9642736742742846	2.6233649312596614	7.167994663991445	2.2026121682476614	1.4300135447790752	4.475048441507952	1.9586969680989943	13.48056804405872	1.4917241463408872	112.0	14.0	93.0	44.0	161.0	20.0	29.0	156.0	23.0	33.0	0.1849893433053233	0.7995636632624648	0.08160583606986346	0.010843237439795103	0.10271504594341466	0.3341630698199284	0.18372258243060668	0.22973188815147902	0.25238245959798533	0.5307277597006351	0.05065848246354683	0.004592430591643205	-13206.232334417955	-1319.5784242732964
4800000	-16872.176748395774	-3636.9242846450675	-13235.252463750705	13.457494333315141	2.3130144465982636	0.8883954143681941	2.555000920491926	7.63425696153097	2.27480157634759	2.369183100399446	4.105740654956264	1.750500907002925	5.108828159103192	1.8235247510973642	105.0	19.0	97.0	29.0	200.0	19.0	11.0	147.0	29.0	29.0	0.14995913903269797	0.7966837132326698	0.092504321380889	0.016929843441449443	0.09820369798456476	0.35304256408469065	0.18191825425027114	0.2315676601175498	0.23347152154748785	1.0867148186408737	0.31320957285373635	0.004760777814087329	-13235.252463750705	-1309.4537258352432
4900000	-16859.452842624614	-3649.6090639643508	-13209.843778660263	13.530278041598322	2.1154130373760514	0.534673743101267	2.6487692994759136	7.918940355817865	2.7762741588079183	2.7418611845790815	2.7983206047360665	2.112763931497117	8.708199709594789	1.1423759401041824	108.0	18.0	94.0	21.0	188.0	7.0	38.0	157.0	28.0	26.0	0.19793838441219067	0.8727674336773835	0.08701075991187272	0.004658470543601075	0.15002185235098403	0.359749192601403	0.19354583736065423	0.20835297149167817	0.2383519985462641	1.5093948968182487	0.3628076337225182	0.00447623992110773	-13209.843778660263	-1319.2017851805906
5000000	-16814.331758069533	-3582.396770947699	-13231.934987121833	13.243750320809337	1.7511448701213739	0.8979514466207074	3.2857880453342334	15.526106789585315	1.9145530231873278	1.2083630176770324	5.787325864054909	2.041622058714268	6.690236159783199	0.8804740373149357	112.0	16.0	92.0	22.0	191.0	25.0	19.0	152.0	32.0	24.0	0.1968437461073849	0.9464215906510056	0.0841994912880653	0.03968636953025919	0.10596798078463047	0.3410638627936024	0.19587675717632802	0.21280589706111408	0.25025348296895505	0.6473702537072428	0.15879285845710678	0.004570873778181209	-13231.934987121833	-1249.0593778860098
5100000	-16853.110817427943	-3627.2761191608397	-13225.834698267103	12.95181666513721	2.6963551894752804	1.0355341211762494	3.5094840482043415	12.904901646617876	2.369764439947008	3.7609157450376656	2.1409975757277393	1.9409079480248377	4.33798747944043	0.9785679187629179	110.0	15.0	98.0	21.0	213.0	14.0	29.0	123.0	39.0	23.0	0.17827635406863546	0.88525406172768	0.09550962877872138	0.01290142646414887	0.13543079831012778	0.3312897934726342	0.21102288720079707	0.2085376820151559	0.24914963731141238	0.8408909229846644	0.2471740731218454	0.005160597422763488	-13225.834698267103	-1298.7152522701356
5200000	-16867.96913520036	-3645.742659272938	-13222.226475927424	12.932097571533346	2.3258499902717418	1.1146992613834446	3.2208375711178774	13.503129335056924	2.571127802738204	8.415374767244595	13.16451349036197	1.7979726571305235	4.985545367531843	0.5138764599066828	97.0	29.0	94.0	20.0	218.0	2.0	13.0	151.0	41.0	20.0	0.14121539726324286	0.8675472107818327	0.08169939145211168	0.01790808438627485	0.12038325005811898	0.3484274456908164	0.20725273230160673	0.22613686463520133	0.2181829573723751	0.7351675965867419	0.24414399917184618	0.004588821185918178	-13222.226475927424	-1312.6421324315872
