GBACC,AGE,ISODATE
ACQ73555,,2005/05/01
ACF36203,,2005/05/03
ACO95481,,2005/05/03
ACF36206,,2005/05/04
ACF36207,,2005/05/04
ACF36208,,2005/05/04
ACF36209,,2005/05/05
ACO95492,,2005/05/05
ACO95503,,2005/05/07
ACO95514,,2005/05/11
ACO36606,,2005/05/13
ACO95525,,2005/05/14
ACO95536,,2005/05/16
ACO36617,,2005/05/17
ACO95547,,2005/05/21
ACO36628,,2005/05/23
ACO36639,,2005/05/26
ACO36650,,2005/05/27
ACO36661,,2005/05/30
ACO36672,,2005/05/31
ACU12538,,2005/06/01
ACF36361,,2005/06/02
ACF36235,,2005/06/02
ACU80058,,2005/06/02
ACF36362,,2005/06/04
ACF36363,,2005/06/06
ACF36364,,2005/06/06
ACP44269,,2005/06/11
ACF36365,,2005/06/14
AEX35450,,2005/06/14
AEX35604,,2005/06/14
AEG65439,,2005/06/15
ACR15579,,2005/06/17
ACR15590,,2005/06/21
ACR15601,,2005/06/29
AEX33880,,2005/06/30
ACF36372,,2005/07/02
ACU12549,,2005/07/09
ACF36375,,2005/07/11
AEX33825,,2005/07/15
AFJ77979,,2005/07/15
ACO36683,,2005/07/16
AEX35461,,2005/07/19
AEX33891,,2005/07/22
ACF36376,,2005/07/26
AEX33836,,2005/08/01
AEX35472,,2005/08/01
AFJ77990,,2005/08/04
AFJ78001,,2005/08/08
AFJ78012,,2005/08/10
AEX33847,,2005/08/11
AEX35483,,2005/08/18
AEX35494,,2005/08/18
AEX35505,,2005/08/18
AEX35516,,2005/08/20
AEX33869,,2005/08/30
AEX35527,,2005/08/30
AEX35538,,2005/09/26
AEX35549,,2005/10/03
AEX35560,,2005/10/10
AEX35571,,2005/10/13
AEX35582,,2005/10/13
AEX35593,,2005/10/17
AFJ78023,,2005/12/30
AEX36608,,2006/01/10
AFJ78034,,2006/01/11
AFJ78045,,2006/01/11
AFJ78056,,2006/01/23
AFJ75047,,2006/02/24
ACF36414,,2006/03/04
AFJ78067,,2006/03/16
AFJ78078,,2006/10/12
AFJ78089,,2006/10/19
AFJ75080,,2006/10/22
AFJ75091,,2006/10/27
AFJ78100,,2006/11/15
AFJ78111,,2006/11/17
AFJ78122,,2006/11/24
AEX34275,,2007/01/02
AEX34100,,2007/01/04
AEX34055,,2007/01/10
AEX36465,,2007/01/10
AEX36278,,2007/01/11
AEX36476,,2007/01/12
AEX36487,,2007/01/12
AEX34111,,2007/01/15
AEX34066,,2007/01/17
AEX33968,,2007/01/22
AEX36201,,2007/01/22
AEX34221,,2007/01/23
AEX34232,,2007/01/24
AEX36289,,2007/01/25
AEX36498,,2007/01/28
AEX36509,,2007/01/29
AEX34123,,2007/02/02
AEX36300,,2007/02/02
AEX36311,,2007/02/05
AEX36212,,2007/02/08
AEX34078,,2007/02/09
AEX35637,,2007/02/09
AEX34134,,2007/02/12
AEX36267,,2007/03/02
AEX36223,,2007/03/06
AEX36322,,2007/03/06
AEX34089,,2007/03/10
AEX36234,,2007/03/10
AEX34145,,2007/03/12
AEX36333,,2007/03/20
AEX33957,,2007/03/22
AEX36344,,2007/03/30
AFJ78133,,2007/03/30
AFJ78166,,2007/04/01
AFJ78144,,2007/04/02
AFJ78155,,2007/04/02
AFJ75111,,2007/04/20
AFJ78177,,2007/04/20
AFJ75122,,2007/04/23
AFJ78276,,2007/04/25
AFJ78188,,2007/05/01
AFJ75449,,2007/05/06
AFJ75460,,2007/05/10
AFJ78199,,2007/05/10
AFJ78210,,2007/05/14
AEX34044,,2007/05/29
AEX34156,,2007/06/18
AEX36245,,2007/06/21
AEX36443,,2007/06/25
AEX36355,,2007/06/29
AEX36454,,2007/07/04
AEX34451,,2007/07/09
AEX36366,,2007/07/10
AEX35615,,2007/07/11
AEX34167,,2007/07/12
AEX36377,,2007/07/12
AEX36179,,2007/07/24
AEX36102,,2007/07/25
AEX35648,,2007/07/26
AEX33990,,2007/07/27
AEX36113,,2007/07/27
AEX36388,,2007/07/27
AEX34243,,2007/07/31
AEX34254,,2007/08/02
AEX33979,,2007/08/03
AEX34265,,2007/08/06
AEX36399,,2007/08/08
AEX34178,,2007/08/09
AEX36410,,2007/08/29
AEX36421,,2007/09/05
AEX34188,,2007/09/07
AEX34199,,2007/09/11
AEX35626,,2007/09/12
AEX36190,,2007/09/13
AEX34001,,2007/10/01
AEX34012,,2007/10/03
AEX34210,,2007/10/08
AEX36432,,2007/10/15
AEX36256,,2007/10/17
